title,Cl/Cd_Re50K_N9,Cl/Cd_Re50K_N5,Cl/Cd_Re100K_N9,Cl/Cd_Re100K_N5,Cl/Cd_Re200K_N9,Cl/Cd_Re200K_N5,Cl/Cd_Re500K_N9,Cl/Cd_Re500K_N5,Cl/Cd_Re1000K_N9,Cl/Cd_Re1000K_N5,max_thickness,max_camber
S8036 (16%) (s8036-il),26.6,25.7,48.2,48,70.2,61.7,87.3,73.3,99.6,82.1,16%,1.3%
S8035 for RC aerobatic  14% thick (s8035-il),24.5,27.6,38.7,39.3,52,51.2,70.6,66.9,83.7,78.7,14%,0%
NREL's S803 Airfoil (s803-nr),38.6,37.1,63.1,63,89.5,83.8,118.4,108.1,140.3,124,11.5%,3.7%
S8025 (8%) (s8025-il),22.7,26.6,33.6,37.2,46.8,48.9,65.6,65.1,79.7,78,8%,0.4%
NREL's S801 Airfoil (s801-nr),31.7,27.1,52.1,52.2,85.2,80.2,118.8,112,147.3,133.2,13.5%,3.7%
NREL's S802 Airfoil (s802-nr),36.7,33.8,61,60.2,91.3,85.7,124.3,113.6,149.5,132.5,11.5%,3.8%
S7075 (9%) (s7075-il),38.8,40.2,59.6,57.7,81.3,74,108,91.6,123,101.8,9%,2.8%
S7055 (10.5%) Flat-Bottomed (s7055-il),31.1,36.2,54.3,56.6,77.3,75.4,107.3,99.1,129.3,116.3,10.5%,3.3%
S7012 8.75% (s7012-il),33.7,37.5,51.9,52.8,70.3,67.5,94.1,85.7,110.5,97,8.7%,1.7%
S6063 7.05% (s6063-il),34.7,34.7,48.6,45.3,61.5,53.4,74.8,60.2,81.3,68.1,7%,1.3%
S6062 8% (s6062-il),34.6,35.6,50.4,48.4,65.2,58.8,82,68.4,91,73.2,7.9%,1.4%
S6061 9% (s6061-il),34.1,35.9,51.2,50.1,68.2,63.3,88.8,77.3,102,81.7,9%,1.5%
S5020 (s5020-il),25.3,33.8,46,48.9,64.4,63.6,88,82.5,104.4,96.7,8.4%,2.2%
S5010 (s5010-il),24.1,32.5,45,47.7,63.2,62.2,86.3,80.8,102.8,94.8,9.8%,1.8%
S4320 (s4320-il),32.3,40,59.1,61.7,84.4,82,117.2,106.4,139.3,122.2,9.4%,4.5%
S4310 (s4310-il),28.2,36.3,56.3,58.3,81,78.5,112.9,102.5,134.7,117.9,10.9%,4.2%
S4233-136-84 (s4233-il),22.6,26.1,52.2,54.3,77.7,77,111.5,104.5,136,121.2,13.6%,2.7%
S4180-098-84 (s4180-il),28.3,37.7,55.1,58.8,78.7,78.7,110.5,104.4,133.9,122.6,9.8%,4%
S4158 (s4158-il),35.1,32.7,57.1,55.5,84.6,80.8,124.2,109,150.6,124.3,10.9%,3.7%
S4096 (designed for the E-flite UMX ASK-21 scale RC sailplane) (s4096-il),27.7,31.3,39.6,40.5,49,48.3,59.1,57.2,65.6,63.1,12.5%,1.2%
S4095 (designed for the E-flite UMX ASK-21 scale RC sailplane) (s4095-il),27.7,32.8,41.1,43.5,53.4,53.5,67.2,65.2,75.6,72.5,9.7%,1.7%
S4094 (root airfoil designed for and used on the E-flite UMX ASK-21 scale RC sailplane) (s4094-il),29.1,34.8,44.9,47.1,59.3,58.8,76.5,73.3,87.8,82.8,9.9%,1.8%
S4083 (8%) (s4083-il),31.1,38.5,51.8,56.2,73.3,74.4,102.8,98.5,124.3,115.8,8%,3.4%
S4062-095-87 (s4062-il),38.7,38.4,62.7,61.9,90.5,86.3,128.5,114.5,155,131,9.5%,4%
S4061-096-84 (s4061-il),35.7,39.1,59.7,60.7,84.3,81.2,116.6,105.7,139.3,121.2,9.6%,3.3%
S4053 (s4053-il),38.2,39.2,58.9,57.8,80.6,75.6,109.1,96.5,129,109.6,8.9%,3%
S4022 (s4022-il),39.4,39.1,64.7,65.1,93.4,90.3,129.8,113.5,148.3,128.1,11.3%,4.3%
S3025 9.38% (s3025-il),33.9,39.2,57,58.7,80,77.1,109.7,99.4,130.2,114.3,9.4%,3%
AIRFOIL 3024    9.84% (s3024-il),34.4,38.3,57.8,57.7,80.9,76.1,110.1,96.8,129,110.1,9.8%,3%
S3021-095-84 (s3021-il),32.2,37.6,53.7,55.1,74.6,71.6,101.4,91.6,119.7,105.4,9.5%,2.5%
S3016-095-87 (s3016-il),31.8,34.9,49.2,48.5,65.7,61,85.5,78.8,99.1,93.3,9.5%,1.8%
S3014-095-85 (s3014-il),32.5,36.4,51.9,51.4,70.3,65.2,92.4,82.6,106.6,96.9,9.5%,2.6%
S3010-103-84 (s3010-il),28.5,36.2,50.2,52.8,70,68.8,95.8,89.2,113.5,104.2,10.3%,2.3%
SELIG 3002-099-83 (s3002-il),35.3,39.2,56.3,55.8,76.6,70.8,99.8,89.2,112.5,100.1,9.9%,2.3%
REPUBLIC S-3 AIRFOIL (s3-il),23.6,28.4,38.5,42.7,56.6,56.4,76.4,73.7,91.3,85.5,11%,1.8%
S2091-101-83 (s2091-il),28.9,38.2,54.7,57.9,77.9,76.4,107.4,99.5,128.2,116.2,10.1%,3.7%
S2062 8% (s2062-il),36,36.4,52.9,49.9,69.7,61.8,89.3,74.6,99.7,78.9,8%,1.5%
S2060 8% (s2060-il),36.4,36.9,53.6,50.6,70.9,62.9,91,75.1,101.5,79,8%,1.6%
S2055 (s2055-il),35.1,35.2,51.9,48.8,70.1,61.9,92.9,71.8,95.4,81,8%,1.4%
S2050 8.93% (s2050-il),33.2,34.6,48.8,47,63.5,58.2,80.9,70.6,88.5,80.8,8.9%,1.1%
S2048 (s2048-il),37.2,37.4,55.8,52.7,75.8,67.5,100.7,78.1,110.3,88.5,8.6%,1.7%
S2046 (s2046-il),38.7,40.1,58,55.9,77.9,70.6,101.9,84.8,108.3,93.4,9%,2.6%
S2027 (s2027-il),8.7,28.4,46,50.8,69.3,70.1,99.6,95.2,122.9,114,14.5%,2.7%
S1223 RTL (s1223rtl-il),31.6,35.9,43.3,49.8,98,64.6,84,85.4,106.7,106.8,13.5%,8.3%
S1223 (s1223-il),33.1,42.3,54.5,59.2,73.6,75.3,98.8,97.4,121.4,120,12.1%,8.1%
S1221  w/ 4 deg flap (s1221-flap-il),31,39.2,48.3,56.4,69.3,76.3,104.6,106.5,133.8,129.5,12.1%,5.3%
S1221  w/o flap (s1221-il),27.1,36.6,45.2,54.5,70,76.5,107.5,110,137.9,135.1,12.1%,4.9%
S1210 12% (s1210-il),14.9,42.1,59.3,66,86.3,88,121.4,115,148,135.9,12%,6.7%
S1091 (s1091-il),46.1,48.3,70.6,69.9,96.2,90.7,129.8,111,153,117.7,5.1%,5.7%
S1048 14% (Danny Howell) (s1048-il),24.2,28.3,40.3,41.6,56,54.6,75.1,66.1,83.9,72.8,14%,0%
S1046 17% (Danny Howell) (s1046-il),16.2,25.3,37.2,40.5,55,54.6,77,70.4,90.9,80.9,17%,0%
SOMERS S102 AIRFOIL (SHARP) (s102s-il),30.2,26.4,40.5,42.2,59.6,57,82.3,69.8,95.9,82.2,15%,2.1%
SOMERS S102 AIRFOIL (BLUNT) (s102b-il),31.1,28.1,42.6,43.8,60.5,57.6,81.9,70.7,96.4,85.3,15%,2%
Ornithopter airfoil. (s1020-il),6,18.1,49.8,53.4,82.4,81.5,120,111.2,146.8,127.2,15.1%,4.6%
S1016 (s1016-il),28.1,22.4,39.2,23.5,35.3,30.2,40.1,41.8,52.2,52,17.5%,0%
S1014 (s1014-il),27,20.3,38.2,23.2,33.7,30.3,45.8,42,54.9,52.6,16.5%,0%
S1012 (s1012-il),26.2,25.5,37.2,31.1,37.7,40,53.5,56.8,69.9,70.3,12%,0%
S1010 HPV airfoil (s1010-il),20.4,21.3,29.5,29.9,37.3,40.1,53.1,55.2,66.3,69.2,6%,0%
Rhode St. Genese 36 (rhodesg36-il),13.3,27.8,42.2,41.8,54,52.8,70.5,70.1,91,91.5,16.2%,5.4%
Rhode St. Genese 34 (rhodesg34-il),20.4,30.9,43.8,45.6,58.8,59.1,81.6,81.9,107.6,103.6,14.1%,4.6%
Rhode St. Genese 32 (rhodesg32-il),24.3,33.4,45.2,48.3,64.3,64.9,92.1,89.7,115,108,11.9%,3.9%
Rhode St. Genese 30 (rhodesg30-il),34.7,36.3,51.3,51.5,67.1,66.3,88.7,84.6,105.4,85.4,9.7%,3.2%
RG 8 AIRFOIL (rg8-il),35.5,37.8,54.8,53.7,73.6,68.3,96.5,83.3,107.5,92.8,10.8%,2.2%
RG 15A 2.5/13.0 AIRFOIL (rg15a213-il),29.2,34.6,50.6,51.3,69.4,66.5,93.3,84.8,108.4,96.1,13%,2.5%
RG 15A-1.8/11.0 AIRFOIL (rg15a111-il),32.3,35.1,50,49.5,66.8,62.7,87.9,79.7,101.9,90,11%,1.8%
RG-15 8.9% (rg15-il),34.8,36.6,52.1,50.5,68.8,63.2,89,79,102.5,88.7,8.9%,1.8%
RG 14A-1.4/7.0 AIRFOIL (rg14a147-il),33.9,34.1,48.6,45.7,62.9,56.1,78.9,67.8,88,76.5,7%,1.4%
RG 14 9.5% AIRFOIL (rg1495-il),32.7,33.9,48.5,46.5,63.6,57.9,82.1,71.4,89.5,85,9.5%,1.6%
RG 14 9% AIRFOIL (rg149-il),33.1,34.1,48.8,46.6,63.5,57.7,81.8,70.8,90,84.2,9%,1.6%
RG 14 10% AIRFOIL (rg1410-il),32.2,33.6,48.2,46.4,63.5,58.1,82.3,71.9,89.4,85.5,10%,1.6%
RG 14 AIRFOIL (rg14-il),33.3,34.8,49.2,47.6,64.5,59.3,83.5,74,95.9,84.2,8.5%,1.6%
RG 12A-1.8/9.0 AIRFOIL (rg12a189-il),34,35.9,50.8,49.6,67.1,62.2,86.7,74.7,96.2,83.5,9%,1.8%
AIRFOIL PROFILE12A 9.00% (rg12a-il),34,35.9,50.8,49.6,67.1,62.2,86.7,75.3,96,83.5,9%,1.8%
RG-12 (rg12-il),32.9,34.4,48.9,47.3,64.2,58.9,82.6,72.2,91.4,81.2,9.3%,1.4%
NASA RC(4)-10 AIRFOIL (rc410-il),28.9,27.7,39.1,37.9,47.9,51.2,69.9,73.8,91.9,92.4,10%,2.1%
NASA/LANGLEY RC-SC2 AIRFOIL (rcsc2-il),24.1,25.2,37.9,33.7,49.3,41.3,54.2,56.3,66.2,69.3,10%,0.5%
NASA RC(5)-10 AIRFOIL (rc510-il),31.6,32.2,46.6,43.5,60.8,54.8,76.3,75.7,94.4,92.4,10%,2.2%
NASA/LANGLEY RC-12(N)1 AIRFOIL (rc12n1-il),32,31.9,49.2,47.2,66.6,61,86.5,70.4,92.9,76.5,12%,1.4%
NASA/LANGLEY RC-12(B)3 AIRFOIL (rc12b3-il),32.5,33.6,50.8,49.2,67,61.5,83.5,69.3,87.2,76.4,12%,2.2%
NASA/LANGLEY RC12-64C AIRFOIL (rc1264c-il),31.5,30,46.3,41.8,58.1,46.2,61.1,62.4,76.5,74.8,12%,1%
NASA/LANGLEY RC-10(N)1 AIRFOIL (rc10n1-il),33.3,33.3,49,46.8,65.5,59.1,84.3,70.4,94.5,78.1,10%,1.5%
NASA/LANGLEY RC-10(B)3 AIRFOIL (rc10b3-il),33.8,33.4,49.3,46.1,62.9,55.7,74.7,65.7,79.3,76.5,10%,1.7%
NASA/LANGLEY RC10-64C AIRFOIL (rc1064c-il),31.7,30.6,45.4,41.9,57.7,46.6,62.4,59.4,71.2,73.2,10%,1%
NASA/LANGLEY RC-08(N)1 AIRFOIL (rc08n1-il),33.2,33.7,48.7,45.8,63.6,56.7,81.5,67.6,91.1,76.8,8%,1.6%
NASA/LANGLEY RC-08(B)3 AIRFOIL (rc08b3-il),32.2,31.2,45.5,41.5,57.7,49.3,67.8,60,71.5,73.8,8%,1.1%
NASA/LANGLEY RC08-64C AIRFOIL (rc0864c-il),23.4,25.4,37.2,31.8,44,33.8,42.7,40.3,45.6,46.8,8%,1%
RAF 89 AIRFOIL (raf89-il),1.6,7,18.7,27.4,45.7,36,50.9,39.7,56.2,45.6,25%,1.6%
RAF 69 AIRFOIL (raf69-il),4.7,18.7,40.3,40.1,58.2,51.7,74,63.9,88.1,72.4,20.6%,1.7%
RAF 6 AIRFOIL (raf6-il),35.7,36.7,51.9,52.5,70.3,68.2,90.5,85,104.8,105,10%,4.6%
RAF-48 AIRFOIL (raf48-il),7.4,25.8,45.6,49.2,68.5,67.8,97.8,93.7,121.8,108.1,15%,2.9%
RAF 38 AIRFOIL (raf38-il),31.6,32.5,51.6,51.9,71.5,69,96.6,90.5,114.7,98.9,12.7%,2.5%
RAF 34 AIRFOIL (raf34-il),25.7,30.7,48.2,49.1,67.5,65.2,90.8,79.4,99.8,84.8,12.6%,2%
RAF 33 AIRFOIL (raf33-il),6.6,19.4,39,48.2,71.8,73.7,107.7,99.2,127.2,110.4,12.6%,4.7%
RAF 32 MOD AIRFOIL (raf32md-il),38,37.5,62.1,61.3,87.2,83.8,120.8,110.5,144.4,124.3,10.2%,4%
RAF 32 AIRFOIL (raf32-il),29.2,25.6,56.2,56.3,85.7,84.8,123.7,116.6,152.3,134.8,12.7%,5%
RAF 31 AIRFOIL (raf31-il),33.8,33.5,53,50.3,72.1,65,93.3,79.6,106.3,83.3,12.7%,2.1%
RAF 30 MOD AIRFOIL (raf30md-il),26.4,25.1,35.2,31,42.7,36.3,47.9,52.3,59.9,65.4,7.6%,0%
RAF 30 AIRFOIL (raf30-il),28.4,28.7,41.7,39.1,52.3,45.6,58.5,58.3,69.5,71.6,12.6%,0%
RAF 28 AIRFOIL (raf28-il),35.6,35.8,52.6,50.9,69.4,64.4,90.6,79.5,103.9,83.6,9.8%,1.9%
RAF 27 AIRFOIL (raf27-il),28.3,27.5,39.5,36.5,49.1,43.9,56.8,58.4,69.4,71.5,9.8%,0%
RAF 26 AIRFOIL (raf26-il),34,37.1,53.8,51.2,71.3,62.1,88.8,69.8,94.1,76.8,6.6%,2.1%
RAF 25 AIRFOIL (raf25-il),28.3,30.6,43.3,40.2,56.2,47.8,68.2,55.7,72.2,68.1,6.5%,1%
RAF 19 AIRFOIL (raf19-il),13.1,32.2,44.6,48.7,62.4,61.8,82.2,83.3,104.8,103,10.5%,10.1%
RAF 15 AIRFOIL (raf15-il),32.5,33.9,43.9,47.2,59.5,59.9,78.9,76.9,92.2,89.6,6.5%,2.6%
RAE6-9CK AIRFOIL (rae69ck-il),25.4,27,37.2,37.5,53.6,49.1,70.6,57.4,79,69.4,12.1%,1.3%
RAE 5215 AIRFOIL (rae5215-il),28.5,26.7,38,35.3,43.8,49.8,67.4,68.6,83.2,81.1,9.7%,1.5%
RAE 5214 AIRFOIL (rae5214-il),29.2,27.5,40.3,35.7,46.4,49.1,66.6,68.4,83.3,80.7,9.7%,1.4%
RAE(NPL) 5213 AIRFOIL (rae5213-il),29.6,29.2,42.7,35.9,49.6,48.7,65.9,68.3,83.2,80.6,10%,1.4%
RAE(NPL) 5212 AIRFOIL (rae5212-il),31.2,30.4,47.7,40.2,57.8,48.2,69.8,63.3,76.4,80.3,11.9%,1.8%
RAE 2822 AIRFOIL (rae2822-il),25.4,27,37.2,37.5,53.6,49.1,70.6,57.4,79,69.4,12.1%,1.3%
RAE 103 AIRFOIL (rae103-il),27.8,27.1,40.2,36.5,48.6,39.2,54.8,52.6,62.2,66,10%,0%
RAE 104 AIRFOIL (rae104-il),24.6,26.2,39.8,33.4,44.8,36.7,52.1,49.7,58.1,61.9,10%,0%
RAE 102 AIRFOIL (rae102-il),28.4,27.4,39.6,36.7,50.5,41.5,57.2,54.7,65.6,68.3,10%,0%
RAE 101 AIRFOIL (rae101-il),27.9,27.4,39,36.4,49.7,44.2,60.3,56.4,67.9,70.2,10%,0%
RAE 100 AIRFOIL (rae100-il),24.6,26.1,35.3,35.2,46.1,45,60.4,60.9,74.1,74.8,10%,0%
R140  12.04% (smoothed) (r140sm-il),22.8,29.4,43,41.4,53.5,46.5,62,53.3,71.1,59.8,12%,0.4%
R140 (original) (r140-il),27.1,28.7,43.2,36.1,48.6,33.4,47.1,37.5,50.8,71.7,12%,0.5%
RONCZ 1082T VOYAGER TIP OUTER AFT WING AIRFOIL (r1082t-il),21.7,16.5,34.3,38.2,73.2,69.4,107.6,101.6,135,122.4,16%,3%
RONCZ 1082 VOYAGER ROOT OUTER AFT WING AIRFOIL (r1082-il),4.2,12.1,25.4,21.5,60.9,61.2,105.1,102.2,136.8,127.1,18%,3.4%
RONCZ 1080 VOYAGER INNER AFT WING AIRFOIL (r1080-il),5.8,13.3,28,22.9,55.7,55.7,106.5,102.2,139.3,127,18%,3.3%
RONCZ 1046 VOYAGER CANARD AIRFOIL (r1046-il),4.4,6.9,13,20.5,26.5,54.2,101.4,108.1,148.8,149.6,18.1%,6.7%
PT40 (pt40-il),32.1,33.4,48.8,46.3,64.3,57.5,78.8,76.1,95,89.2,11.6%,2.9%
PSU 94-097 (AIAA 2001-2478) (psu94097-il),39.2,41.2,64,64.1,90.8,86.8,126.6,112.9,150.7,127.5,9.7%,4%
PSU-90-125WL (psu-90-125wl-il),32.2,34.9,54.1,53.2,75.8,70.3,102.5,87.8,115.7,97.7,12.5%,2%
PMC19 Smoothed (pmc19sm-il),28,32.3,44.6,45,58.9,57.9,79,74,93.8,82.2,9.2%,2.1%
PROPFAN CRUISE MISSILE WING AIRFOIL (pfcm-il),30.6,33,47,44.9,61.6,56.3,67.3,78.7,88.4,70.9,8.2%,1.3%
NACA 66 (p51htip-il),22.2,22.7,35.4,38.7,52.5,48,72.9,67,90.8,75.1,12%,1.3%
NACA 66 (p51hroot-il),20.3,19.5,32.3,27.1,42.4,43.6,67.2,55.6,70.1,46.5,15.5%,1.3%
P-51D TIP (BL215) AIRFOIL (p51dtip-il),22.6,23.2,40.8,35.5,54.8,49.4,74.1,63.7,89.2,68.4,11.4%,1.3%
P-51D ROOT (BL17.5) AIRFOIL (p51droot-il),28,23.9,46.2,43.4,62.4,57.6,81.3,71.7,92.5,79.5,16.5%,1.3%
OAF139 AIRFOIL (oaf139-il),13.3,20.9,26.5,31.8,39.9,43.5,58.9,59.8,73.1,72.3,13.7%,0%
OAF128 AIRFOIL (oaf128-il),24.7,31.1,41.4,43.5,56.5,55.5,74.1,71,85.4,85.2,12.8%,1%
OAF117 AIRFOIL (oaf117-il),28.3,34.8,46.9,49.5,64.2,63,84.4,78.5,96.8,89.7,11.5%,2%
OAF102 AIRFOIL (oaf102-il),40.7,41.8,61.9,60.6,82.2,77.4,107.2,86.3,114,92,10.2%,3.6%
OAF095 AIRFOIL (oaf095-il),43.9,43.8,65.7,63.9,88.2,82.8,116.8,93.2,131.2,98.3,9.5%,3.9%
ONERA OA213 AIRFOIL (oa213-il),26.5,29.8,41.6,41.9,54,54.9,75.1,75.8,95.3,93.7,12.6%,3.3%
ONERA OA212 AIRFOIL (oa212-il),26.2,31.6,44.3,45.6,60.4,59.5,82.2,76.3,96.6,87,12%,2.3%
ONERA OA209 AIRFOIL (oa209-il),25.8,28.6,36,41.5,52.7,55.3,75.1,73.3,90.5,85.2,9%,1.6%
ONERA OA206 AIRFOIL (oa206-il),27.3,27.1,36.4,35.9,46.1,44.1,58.6,56.3,67.6,69.7,6%,0.8%
NPL AIRFOIL FROM ARC CP 1372 (nplx-il),22,22.6,28.8,28.8,41,38.2,49.1,54.6,62.8,70.6,10.7%,1.1%
NPL 9660 AIRFOIL (npl9660-il),28,30.1,41.9,41.1,54.9,51.5,69.7,66.2,81.5,75.2,11.3%,1%
NPL 9627 AIRFOIL (npl9627-il),28.8,29.7,42.3,40.1,54.3,49,66.2,64.6,80.4,81.4,12.2%,0.9%
NPL 9626 AIRFOIL (npl9626-il),29.8,29.6,42.1,39.9,53.3,48.5,65.3,60.4,73.6,76.1,12.1%,0.7%
NPL 9615 AIRFOIL (npl9615-il),29,30.5,43.3,42.1,56.7,52.4,70.8,68.1,84.7,77.4,11.3%,1%
NPL 9510 AIRFOIL (npl9510-il),15.5,17,18.4,23.3,25.4,32.4,40.3,49.8,57.2,67.8,11.1%,1.6%
NN7 MK20 (nn7mk20-il),21,17.2,44.2,43.8,70.2,69.9,101.8,99,127.2,118.1,16.9%,3%
NLR-7301 AIRFOIL (nlr7301-il),21,18.7,21.5,26.7,31,37.2,49.9,55.4,67.1,70.2,16.5%,1.7%
NLR-1T AIRFOIL (nlr1t-il),29.6,28.3,38.9,39.5,53.4,52,70.5,68.2,84.8,80.9,8.7%,1.3%
NASA/LANGLEY NLF(1)-0416 AIRFOIL (nlf416-il),14.8,25.7,45.1,48.3,65.3,67.3,93.7,91.3,115.7,108.4,15.9%,2.5%
NASA/LANGLEY NLF(2)-0415 AIRFOIL (nlf415-il),23.4,21.1,27.2,28.6,36.2,45.7,85.3,82.7,118.4,107.5,15%,3%
NASA/LANGLEY NLF 0414F AIRFOIL (nlf414f-il),24.6,23.5,35.9,34.4,55.7,53.4,80.9,77.1,104.4,95.4,14.2%,2.4%
NASA  NLF1015 (nlf1015-il),25.8,21.9,40.7,38.6,75.6,77.2,130.6,125.9,167.7,154.6,15%,4.3%
NASA/LANGLEY NLF(1)-0215F AIRFOIL (nlf0215f-il),25.9,20.8,46.8,49.4,76.3,76.9,110.8,108.9,139.7,131.8,15%,4%
NLF(1)-0115 (nlf0115-il),30.7,26.8,45.5,41.4,60.8,56,81.9,69.5,94.4,76.3,15%,1.8%
NLR-7223-62 AIRFOIL (nl722362-il),30,28.5,42.2,39.8,57.1,52.9,72.8,70.8,87.9,78.9,8.6%,1.3%
NLR-7223-43 AIRFOIL (nl722343-il),30.4,29.2,42.5,41.4,53.6,53.1,70.2,67.4,82.6,78.1,8.6%,1.3%
ONERA NACA CAMBRE AIRFOIL (ncambre-il),26.5,29.6,39.6,41.3,52.9,54.3,73.9,73,90.4,88,11.5%,1.4%
SC(2)-0714 Supercritical airfoil (coordinates from Raymer w/ one correction) (nasasc2-0714-il),24.5,22.5,28.1,31.1,36.6,43.8,66,64,83.7,80,13.9%,2.5%
NACA M6 (nacam6-il),30.5,32.2,49.9,49.9,67.8,64.8,89.5,72.6,90.6,81,12%,2.1%
NACA M3 (nacam3-il),27.3,26.6,37.9,34.6,45.8,42.2,54.9,56.8,66.9,69.5,11.9%,0%
NACA M2 (nacam2-il),25.5,23.6,33.2,27.9,38.6,36.1,44.5,54.4,60.3,70.5,8.1%,0%
NACA M18 (nacam18-il),10.2,26.2,47.9,50.8,71.7,72.3,102.6,99.2,125.1,114,12%,4.1%
NACA M12 (nacam12-il),31.8,33.6,49.4,48.8,66.3,56.6,71.5,62.7,78.3,71.7,11.9%,2%
NACA CYH (nacacyh-il),25.7,33.3,47.8,49.4,65.4,64.7,90.5,87,110.4,101,11.7%,2.8%
NACA 747A415 (naca747a415-il),19,17,37.4,44.5,73.8,66.4,97.5,92.6,120.6,110.9,15%,3%
NACA 747A315 (naca747a315-il),20.2,17.3,44.4,46.4,72,61.6,89.8,85.1,111.5,100.3,15%,2.5%
NACA 67 (naca671215-il),23.2,21.4,34.9,25.8,42.4,33.4,56.2,55.5,84.3,71.3,15%,1.1%
NACA 66(4)-221 (naca664221-il),16.5,12.2,19.1,18.1,29.6,30.5,68.6,69.1,100.8,91.7,21%,1.1%
NACA 66(3)-218 (naca663218-il),19.3,16.9,26.7,22.9,38.4,41.5,76.4,72.3,99.1,87.2,18%,1.1%
NACA 66(2)-215 (naca662215-il),21.5,21,37.6,28.4,44.8,46.1,72.9,66.4,91.6,76.2,15%,1.1%
NACA 66(3)-418 (naca663418-il),18.8,16.8,27,25.1,42.7,44.9,91.5,89.9,124,114.6,18%,2.2%
NACA 66(2)-415 (naca662415-il),21.9,21.4,33.5,32.7,55.4,55.3,94,89.2,120.8,107.6,15%,2.2%
NACA 66-210 (naca66210-il),22.1,27.6,32.8,36.7,51.4,46.7,61.9,67.5,82.2,67.1,10%,1.1%
NACA 66-209 (naca66209-il),22.1,25.9,32.4,40.6,53.3,47.1,67.7,60.6,80.4,64.9,9%,1.1%
NACA 66-206 (naca66206-il),20.9,22.6,28.4,35.9,52.9,50.7,71.7,59.4,76.3,66.5,6%,1.1%
NACA 66(1)-212 (naca661212-il),22,22.3,37.6,32.7,47.6,46.8,71.1,62.8,86,70.5,12%,1.1%
NACA 66-018 (naca66-018-il),20.9,15.3,31.6,18.8,31,34.4,57.1,50.7,72,57.9,18%,0%
NACA 65(4)-421 a=0.5 (naca654421a05-il),3.7,10.2,17.4,16.5,31.7,44.4,96.5,92.5,128.2,117.6,21%,3%
NACA 65(4)-221 (naca654221-il),15.7,12.4,21.3,20.7,50.2,52.6,86.2,78.6,105.8,91.9,21%,1.1%
NACA 65(4)-421 (naca654421-il),14.3,11.8,20.6,19.7,53.9,57,96.3,91.1,122,110.4,21%,2.2%
NACA 65-410 (naca65410-il),28.7,35.4,52.9,52.6,75.2,68.7,97.8,87.5,114.4,98.9,10%,2.2%
NACA 65(3)-618 (naca653618-il),17.8,15.3,27.8,29,67.7,70.2,110.3,105.2,138.3,128.4,18%,3.3%
NACA 65(2)-415 a=0.5 (naca652415a05-il),20.8,18.9,33.6,37,74.7,73.2,113.1,100.9,134.8,121.1,15%,3%
NACA 65(3)-218 (naca653218-il),19.6,17.1,35.2,31.9,57.3,56.7,85.7,76.1,102.4,86.1,18%,1.1%
NACA 65(2)-415 (naca652415-il),23.9,24,46.7,46.6,70.8,68,100.4,91.1,120.6,105.9,15%,2.2%
NACA 65(2)-215 (naca652215-il),22.7,23.5,46.1,39.8,57.5,55.9,82.5,71.4,96.4,79,15%,1.1%
NACA 65-210 (naca65210-il),24.6,29.7,43.3,43,59,50.8,72.9,62.7,82.6,69.2,10%,1.1%
NACA 65-209 (naca65209-il),24.9,30.4,43.6,42.1,59.3,50.4,71.3,61.2,80.6,68,9%,1.1%
NACA 65-206 (naca65206-il),22.2,29.4,40.2,39.4,54.2,50.3,71.2,56.7,77.8,67.7,6%,1.1%
NACA 65(1)-412 (naca651412-il),28.3,30.7,53,51.6,74.9,67.9,98.5,88.8,116.3,100.9,12%,2.2%
NACA 65(1)-212 a=0.6 (naca651212a06-il),25.4,29.5,46.7,45.7,66.7,56.7,81.5,69.3,94.1,75.7,12%,1.5%
NACA 65(1)-212 (naca651212-il),26.2,28.4,46.8,42.2,55.9,52.9,76.3,66.1,87.8,70.8,12%,1.1%
NACA 64A410 (naca64a410-il),38.1,37.5,58.2,55.5,79,71.3,100.7,75.2,98.6,80.9,10%,2.7%
NACA 64A210 (naca64a210-il),33.7,32.9,49.1,46.5,65.2,59.2,85,68.5,93.1,73.2,10%,1.3%
NACA 64A-010 10.0% (naca64a010-il),26.6,26.2,37.8,34.5,46.6,36.9,50.8,49.9,58.1,63.1,10%,0%
NACA 64(4)-421 (naca644421-il),3.9,11.3,21.9,26.1,61.5,62.6,98.5,93.2,124.1,112.5,20.9%,2.2%
NACA 64(4)-221 (naca644221-il),9.4,12.2,24.1,28.7,57.2,58.1,90.7,82.3,111.4,95.8,21%,1.1%
NACA 64(3)-618 (naca643618-il),18.6,14.9,31.8,41.8,74.3,73.5,109.9,103.7,136.3,124.9,17.9%,3.3%
NACA 64(3)-418 (naca643418-il),20.8,16.8,39.2,42.7,69.3,68.3,101.8,93.5,123.7,109.2,17.9%,2.2%
NACA 64(3)-218 (naca643218-il),21.9,18,41.5,39.7,62.3,60.5,89.6,78.8,106.4,88.2,18%,1.1%
NACA 64(2)-415 (naca642415-il),27.2,25.9,51.9,51.2,75.4,70,101.4,90.8,120.6,103.1,15%,2.2%
NACA 64(2)-215 (naca642215-il),28.3,26.6,47.6,44.3,63.1,58.9,85.5,73.7,99.2,79.3,15%,1.1%
NACA 64-210 (naca64210-il),30.3,32.2,46.4,44.6,61.8,54,76.3,63.2,85.7,72.9,10%,1.1%
NACA 64-209 (naca64209-il),31.5,32,45.9,43.4,60.8,53.8,75.8,60.8,82.6,70.9,9%,1.1%
